opinion_id,author,recommendation,stars,content,useful,useless,publish_date,purchase_date,pros,cons
14598552,d...0,Polecam,5/5,Ok,0,0,2021-06-14 21:06:33,2021-06-03 07:31:41,"['extra dojazdy do pracy', 'jak działa jest super', 'przyciąga uwagę', 'wygląd']",[]

14553386,z...z,Polecam,"4,5/5",Ok,0,0,2021-06-03 16:32:40,2021-05-07 16:43:06,[],[]

14473624,admar,Polecam,5/5,ok,0,0,2021-05-18 11:48:59,2021-05-10 23:34:37,"['extra dojazdy do pracy', 'przyciąga uwagę', 'wygląd']",[]

14473600,admar,Polecam,5/5,ok,0,0,2021-05-18 11:46:32,2021-05-10 23:30:17,"['extra dojazdy do pracy', 'wygląd']",[]

14357888,k...1,Polecam,5/5,Ok,0,0,2021-04-26 12:25:36,2021-04-16 09:21:19,[],[]

14493017,Użytkownik Ceneo,,3/5,"Zła nie jest, ale jakością nie przewyższa Fiat F85. Kolega ma, porównałem i wypada na korzyść tej drugiej.",1,0,2021-05-21 10:24:18,,[],[]

14400978,k...j,Nie polecam,1/5,"Hulajnoga na ""dzień dobry"" przyszła zepsuta ...",0,1,2021-05-04 12:35:13,2021-04-26 20:34:49,[],[]

14848238,myd29901,Polecam,5/5,"Spełnia oczekiwania mniejszego (7 lat) i większego dziecka, daje radę z lżejszym dorosłym :-) . Zasięg i moc mniejsza niż w 1s, ale sprawdza się w konfiguracji cięższy jedzie 1s a lżejszy obok na Essential. Jedyny problem to sparowanie hulajnogi z aplikacją, udało się dopiero na trzecim urządzeniu (powinno to działać bezproblemowo, a tak nie jest). Polecam. Przejechane 60km i dziecko zachwycone.",4,1,2021-08-16 22:49:04,2021-07-31 21:28:06,['wygląd'],[]

14704644,a...o,Polecam,5/5,"Fajna 'zabawka' dla mojego dziecka... widzę, że się podoba, lubi na niej jeździć i chętnie jeździ również z przyjaciółmi ( w różnym wieku)... Bateria dobrze trzyma, jak na tę cenę chyba sprzęt SUPER !",4,0,2021-07-09 20:40:31,2021-06-05 15:01:37,[],[]

14695619,f...1,Polecam,5/5,Hulajnogę zakupiłam w korzystnej cenie. Dla mojego 11- letniego syna idealna. Prędkość max. 20 km wystarczająca dla dziecka. Polecam zakupy w X-KOM. Nigdy się na Was nie zawiodłam.,2,0,2021-07-08 00:00:04,2021-05-29 11:39:44,"['extra dojazdy do pracy', 'jak działa jest super', 'przyciąga uwagę', 'wygląd']",[]

14723709,m...8,Polecam,5/5,W tym przedziale cenowym warta ceny Jeździ hula Łatwe parowanie z telefonem Troszkę kierownica na zaczepie skrzypiała troszkę smaru naprawiło problem,2,1,2021-07-15 08:04:12,2021-06-13 21:20:25,[],[]

14451472,n...7,Polecam,5/5,"Bardzo dobra,podstawowa hulajnoga w przystępnej cenie do poruszania si\e na codzień.",2,0,2021-05-13 15:11:10,2021-04-29 15:39:27,"['cena', 'dostęp do części zamiennych', 'extra dojazdy do pracy', 'fajna hulajnoga nie ma co', 'fajny wygląd że napatrzeć się nie można', 'jak działa jest super', 'jakość', 'jest łatwa w obsłudze', 'moc', 'nieźle z górki i na równym zasuwa', 'pod górkę jedzie wolniej choć daje radę', 'polecam', 'porządny produkt', 'prezentuje się bardzo dobrze', 'przyciąga uwagę', 'serwis', 'stabilna konstrukcja', 'super moc po wgraniu nowego oprogramowan', 'tempomat', 'trwałość', 'wszędzie można zabrać', 'wygląd', 'wygoda', 'zasięg']",[]

16223474,M...k,Polecam,5/5,"Bardzo estetyczna i zgrabna hulajnoga. Swietnie się prowadzi, bardzo zwrotna. Działa bez zarzutów.",0,0,2022-06-18 08:01:49,2022-06-07 10:01:07,"['extra dojazdy do pracy', 'jak działa jest super', 'przyciąga uwagę', 'wygląd']",[]

15057251,w...i,Polecam,5/5,Bardzo dobrze wykonana szybką wysyłka polecam jak najbardziej,2,0,2021-10-09 21:52:30,2021-09-26 10:10:01,"['cena', 'dostęp do części zamiennych', 'extra dojazdy do pracy', 'fajna hulajnoga nie ma co', 'fajny wygląd że napatrzeć się nie można', 'jak działa jest super', 'jakość', 'jest łatwa w obsłudze', 'moc', 'nieźle z górki i na równym zasuwa', 'pod górkę jedzie wolniej choć daje radę', 'polecam', 'porządny produkt', 'prezentuje się bardzo dobrze', 'przyciąga uwagę', 'serwis', 'stabilna konstrukcja', 'super moc po wgraniu nowego oprogramowan', 'tempomat', 'trwałość', 'wszędzie można zabrać', 'wygląd', 'wygoda', 'zasięg']",[]

14591684,p...2,Polecam,5/5,Bardzo fajna wydajna . Dobry stosunek jakości do ceny polecam,1,0,2021-06-12 03:59:52,2021-05-21 00:15:18,"['extra dojazdy do pracy', 'jak działa jest super', 'przyciąga uwagę', 'wygląd']",[]

14661303,s...l,Nie polecam,"2,5/5","Na dane podane przez producenta co do osiągów hulajnogi dotyczacych prędkości oraz zasięgu należy brać dużą poprawkę (zbyt dużo czynników wpływa na wytyczne : waga jeżdżącej osoby, typ powierzchni oraz ukształtowanie terenu, chyba nikomu nie udało się osiągnąć tego co podaje producent) Nie rozumiem dlaczego w obecnym oprogramowaniu hulajnogi jest brak tempomatu. Nie polecam aktualizacji oprogramowania w modelach kupionych wcześniej. Przyjemność jazdy na równym terenie została zabrana - trzymaj teraz manetkę cały czas.",1,2,2021-06-29 22:12:54,2021-06-05 18:51:00,"['extra dojazdy do pracy', 'jak działa jest super', 'przyciąga uwagę', 'wygląd']",[]

15925964,k...9,Nie polecam,2/5,Zasięg tej hulajnogi jest zdecydowanie mniejszy niż w opisie. Prawie o połowę. Po za tym otrzymałem uszkodzony sprzęt. Paczka była zniszczona a hulajnoga porysowana. Nie polecam,2,4,2022-04-06 19:13:55,2022-03-05 22:26:39,[],[]

16013065,a...6,Polecam,5/5,"Super produkt, wszystko zgodne z opisem polecam dostawce",0,0,2022-04-27 10:44:08,2022-04-21 16:18:46,"['jak działa jest super', 'wygląd']",[]

13358615,Jerzy,Polecam,4/5,Profesjonalny sprzęcik zgodnie ze specyfikacją.,0,0,2020-11-11 13:48:36,2020-10-28 22:02:56,[],[]

16205071,Karol,Polecam,5/5,Świetna hulajnoga dla dzieci. Sprawuje się bez zarzutu.,0,0,2022-06-13 20:30:27,2022-05-17 19:58:19,"['jak działa jest super', 'przyciąga uwagę', 'wygląd']",[]

14672080,d...k,Polecam,5/5,"Zakupiona w promocji, przy tej kwocie bezkonkurencyjna",0,0,2021-07-01 20:49:09,2021-06-04 09:51:34,[],[]

14705394,f...1,Polecam,4/5,20km/h to jednak z perspektywy mało. ale sprzęt ok,0,0,2021-07-09 22:49:21,2021-06-16 22:35:08,[],[]

14596324,d...3,Polecam,5/5,"fajna zabawka, dostarczono szybko i sprawnie",0,0,2021-06-14 11:07:54,2021-05-24 13:29:28,"['extra dojazdy do pracy', 'jak działa jest super', 'przyciąga uwagę', 'wygląd']",[]

16216950,e...a,Polecam,5/5,Hulajnoga dobrze wykonana Syn zadowolony ❤️,0,0,2022-06-16 15:20:03,2022-05-30 10:56:37,"['extra dojazdy do pracy', 'jak działa jest super', 'przyciąga uwagę', 'wygląd']",[]

16142152,a...3,Polecam,5/5,Dziecko jest bardzo zadowolone z produktu.,0,0,2022-05-28 09:44:51,2022-05-04 19:33:24,[],[]

16171610,m...1,Polecam,5/5,"Bardzo fajna hulajnoga, solidna. Polecam!",0,0,2022-06-04 16:44:39,2022-05-17 10:54:05,[],[]

16100228,s...d,Polecam,5/5,"super sprzęt . Łatwy w obsłudze, polecam",0,0,2022-05-18 20:27:29,2021-11-04 23:15:27,[],[]

16097070,s...n,Polecam,5/5,"dobra jakość wykonania, prosty montaż",0,0,2022-05-18 08:02:05,2022-04-20 21:29:07,"['extra dojazdy do pracy', 'jak działa jest super', 'wygląd']",[]

14624603,a...2,Polecam,5/5,Wszystko bez zastrzeżeń mega produkt,0,0,2021-06-21 09:57:44,2021-06-14 22:25:20,"['extra dojazdy do pracy', 'jak działa jest super', 'przyciąga uwagę', 'wygląd']",[]

14753978,m...0,Polecam,5/5,Spoko hulajka dla dzieciaka. Polecam,0,0,2021-07-22 17:35:58,2021-06-21 23:44:53,[],[]

14668466,a...a,Polecam,5/5,Solidne wykonanie polecam,1,0,2021-07-01 08:51:43,2021-05-31 08:42:33,[],[]

16092730,Kamil,Polecam,4/5,hulajnoga z wyglądu wydaje się ok,0,0,2022-05-17 09:33:43,2022-05-11 18:20:51,[],[]

16156642,i...9,Polecam,5/5,"Polecam, produkt zgodny z opisem",0,0,2022-06-01 12:02:19,2022-05-13 11:32:47,"['jest łatwa w obsłudze', 'polecam', 'stabilna konstrukcja', 'wygląd']",[]

16104961,g...7,Polecam,5/5,Super hulajnoga i szybka dostawa,0,0,2022-05-19 17:55:55,2022-04-19 15:45:18,"['extra dojazdy do pracy', 'jak działa jest super', 'przyciąga uwagę', 'wygląd']",[]

14726576,c...2,Polecam,5/5,Super sprzet polecam serdecznie.,0,0,2021-07-15 18:07:54,2021-06-15 12:34:20,"['extra dojazdy do pracy', 'jak działa jest super', 'przyciąga uwagę', 'wygląd']",[]

16144128,m...k,Polecam,5/5,"Wszystko super, gorąco polecam",0,0,2022-05-29 13:17:46,2022-04-30 22:36:38,[],[]

16105112,k...a,Polecam,5/5,"Bardzo fajna, solidna. Polecam",0,0,2022-05-19 18:44:24,2022-05-17 17:39:33,"['cena', 'jakość', 'polecam', 'wygląd']",[]

15472706,p...8,Polecam,"4,5/5",Fajna hulajnoga dla młodzieży.,0,0,2021-12-30 00:14:09,2021-11-04 10:03:10,"['extra dojazdy do pracy', 'wygląd']",[]

15112484,n...0,Polecam,5/5,super prezent dla 12-latka ;),0,0,2021-10-22 09:17:36,2021-10-12 19:47:16,"['extra dojazdy do pracy', 'jak działa jest super', 'przyciąga uwagę', 'wygląd']",[]

14659984,p...s,Polecam,5/5,Hulajnoga warta swojej ceny,0,0,2021-06-29 19:13:10,2021-06-14 10:57:41,[],[]

16107324,l...k,Polecam,5/5,Produkt spełnia oczekiwania,0,0,2022-05-20 07:46:00,2022-05-10 23:01:16,[],[]

14672643,p...o,Polecam,5/5,Świetna jakość Polecam,0,0,2021-07-01 22:26:27,2021-06-15 10:42:59,['wygląd'],[]

16141348,n...3,Polecam,5/5,Fajny i ekologiczny,0,0,2022-05-27 23:16:38,2022-05-11 12:01:55,"['extra dojazdy do pracy', 'wygląd']",[]

14677832,s...6,Polecam,4/5,Jestem zadowolony.,0,0,2021-07-03 00:00:40,2021-05-28 19:27:45,"['extra dojazdy do pracy', 'jak działa jest super', 'przyciąga uwagę', 'wygląd']",[]

14748795,z...a,Polecam,5/5,Na razie super,0,0,2021-07-21 19:52:13,2021-06-21 14:03:11,[],[]

15208399,p...m,Polecam,5/5,Wszysto super,0,0,2021-11-15 19:27:00,2020-09-07 18:37:16,"['extra dojazdy do pracy', 'jak działa jest super', 'przyciąga uwagę', 'wygląd']",[]

14641572,g...i,,"3,5/5",Ok,1,0,2021-06-24 13:22:37,2021-06-06 10:55:07,"['dostęp do części zamiennych', 'extra dojazdy do pracy', 'fajna hulajnoga nie ma co', 'jak działa jest super', 'jakość', 'jest łatwa w obsłudze', 'nieźle z górki i na równym zasuwa', 'polecam', 'prezentuje się bardzo dobrze', 'przyciąga uwagę', 'wszędzie można zabrać', 'wygląd', 'zasięg']","['cena', 'fajny wygląd że napatrzeć się nie można', 'moc', 'pod górkę jedzie wolniej choć daje radę', 'porządny produkt', 'serwis', 'stabilna konstrukcja', 'super moc po wgraniu nowego oprogramowan', 'tempomat', 'trwałość', 'wygoda']"

16203505,w...m,Polecam,5/5,Bardzo dobry,0,0,2022-06-13 11:42:45,2022-05-30 10:20:25,[],[]

14900865,j...a,Polecam,5/5,bardzo dobry,0,0,2021-08-30 10:33:26,2021-07-20 09:28:05,"['extra dojazdy do pracy', 'jak działa jest super', 'przyciąga uwagę', 'wygląd']",[]

14717835,j...w,Polecam,5/5,Super!!!!!,0,0,2021-07-14 07:59:22,2021-07-03 09:13:24,[],[]

14654544,e...4,Polecam,5/5,Polecam!!!,0,0,2021-06-28 15:12:25,2021-06-12 12:32:24,"['extra dojazdy do pracy', 'fajny wygląd że napatrzeć się nie można', 'jak działa jest super', 'jest łatwa w obsłudze', 'nieźle z górki i na równym zasuwa', 'polecam', 'porządny produkt', 'przyciąga uwagę', 'stabilna konstrukcja', 'wygląd', 'wygoda', 'zasięg']",[]

15867958,d...k,Polecam,5/5,Petarda.,0,0,2022-03-24 20:14:28,2022-03-10 20:06:17,"['extra dojazdy do pracy', 'jak działa jest super', 'wygląd']",[]

14700950,l...8,Polecam,5/5,Perfect,0,0,2021-07-09 00:01:00,2021-06-12 00:38:57,"['extra dojazdy do pracy', 'jak działa jest super', 'przyciąga uwagę', 'wygląd']",[]

15981706,t...i,Polecam,5/5,jest ok,0,0,2022-04-20 10:20:57,2022-04-12 20:04:44,[],[]

14564983,c...z,Polecam,5/5,jest ok,0,0,2021-06-07 11:10:22,2021-05-28 19:51:31,"['jest łatwa w obsłudze', 'polecam', 'przyciąga uwagę', 'stabilna konstrukcja', 'wygląd']",[]

15504874,l...8,Polecam,"4,5/5",Super,0,0,2022-01-04 23:38:26,2021-12-04 19:04:54,[],[]

14671203,z...5,Polecam,5/5,Super,0,0,2021-07-01 17:27:37,2021-06-21 20:21:32,"['extra dojazdy do pracy', 'jak działa jest super', 'przyciąga uwagę', 'wygląd']",[]

14660970,a...1,Polecam,5/5,Super,0,0,2021-06-29 21:27:21,2021-06-19 16:01:46,[],[]

14607915,z...0,Polecam,5/5,Bdb,0,0,2021-06-16 13:56:42,2021-06-09 21:56:11,"['extra dojazdy do pracy', 'jak działa jest super', 'przyciąga uwagę', 'wygląd']",[]

16110155,c...x,Polecam,5/5,Git,0,0,2022-05-20 17:10:04,2022-04-28 14:03:12,[],[]

14726297,w...0,Polecam,"4,5/5",Ok.,0,0,2021-07-15 16:29:29,2021-06-21 16:22:53,[],[]

14620100,T...8,Polecam,5/5,Oki,0,0,2021-06-18 20:57:07,2021-05-30 15:57:07,"['extra dojazdy do pracy', 'jak działa jest super', 'przyciąga uwagę', 'wygląd']",[]

16161945,g...1,Polecam,5/5,Ok,0,0,2022-06-02 11:07:05,2022-05-13 19:06:32,[],[]

14598552,d...0,Polecam,5/5,Ok,0,0,2021-06-14 21:06:33,2021-06-03 07:31:41,"['extra dojazdy do pracy', 'jak działa jest super', 'przyciąga uwagę', 'wygląd']",[]

14553386,z...z,Polecam,"4,5/5",Ok,0,0,2021-06-03 16:32:40,2021-05-07 16:43:06,[],[]

